======================================================================
  CATAN BOT SIMULATION -- 2026-04-03 15:35:53
  Variant: base-3-4, Players: 4, VP Target: 10
======================================================================

PLAYERS:
  1. Bot Bob (blue)
  2. Bot Alice (red)
  3. Bot Diana (orange)
  4. Bot Charlie (white)

----------------------------------------------------------------------
TURN LOG:
----------------------------------------------------------------------

T 77 | Bot Bob        | dice-roll            | 5+2=7
T 77 | Bot Bob        | move-robber          | moved robber
T 77 | Bot Bob        | steal                | stole from Bot Alice
T 77 | Bot Bob        | build-road           | built road
T 78 | Bot Bob        | end-turn             | ended turn
T 78 | Bot Alice      | dice-roll            | 1+2=3
T 78 | SYSTEM         | resource-distribution | resource-distribution
T 79 | Bot Alice      | end-turn             | ended turn
T 79 | Bot Diana      | dice-roll            | 5+5=10
T 79 | SYSTEM         | resource-distribution | resource-distribution
T 80 | Bot Diana      | end-turn             | ended turn
T 80 | Bot Charlie    | dice-roll            | 1+3=4
T 80 | SYSTEM         | resource-distribution | resource-distribution
T 80 | Bot Charlie    | maritime-trade       | 3:1 wool→brick
T 80 | Bot Charlie    | build-road           | built road
T 81 | Bot Charlie    | end-turn             | ended turn
T 81 | Bot Bob        | dice-roll            | 1+6=7
T 81 | Bot Bob        | discard              | discarded 4 cards
T 81 | Bot Bob        | move-robber          | moved robber
T 81 | Bot Bob        | steal                | stole from Bot Diana
T 81 | Bot Bob        | build-road           | built road
T 82 | Bot Bob        | end-turn             | ended turn
T 82 | Bot Alice      | dice-roll            | 2+3=5
T 82 | SYSTEM         | resource-distribution | resource-distribution
T 83 | Bot Alice      | end-turn             | ended turn
T 83 | Bot Diana      | play-knight          | played knight
T 83 | Bot Diana      | move-robber          | moved robber
T 83 | Bot Diana      | steal                | stole from Bot Alice
T 83 | Bot Diana      | build-road           | built road
T 83 | Bot Diana      | maritime-trade       | 3:1 grain→ore
T 84 | Bot Diana      | end-turn             | ended turn
T 84 | Bot Charlie    | dice-roll            | 4+2=6
T 84 | SYSTEM         | resource-distribution | resource-distribution
T 85 | Bot Charlie    | end-turn             | ended turn
T 85 | Bot Bob        | dice-roll            | 2+3=5
T 85 | SYSTEM         | resource-distribution | resource-distribution
T 86 | Bot Bob        | end-turn             | ended turn
T 86 | Bot Alice      | dice-roll            | 6+2=8
T 86 | SYSTEM         | resource-distribution | resource-distribution
T 87 | Bot Alice      | end-turn             | ended turn
T 87 | Bot Diana      | dice-roll            | 6+2=8
T 87 | SYSTEM         | resource-distribution | resource-distribution
T 87 | Bot Diana      | buy-dev-card         | bought dev card
T 87 | Bot Diana      | maritime-trade       | 3:1 wool→lumber
T 87 | Bot Diana      | build-road           | built road
T 87 | Bot Diana      | longest-road         | longest road (6)
T 87 | Bot Diana      | maritime-trade       | 3:1 wool→ore
T 87 | Bot Diana      | buy-dev-card         | bought dev card
T 88 | Bot Diana      | end-turn             | ended turn
T 88 | Bot Charlie    | dice-roll            | 5+3=8
T 88 | SYSTEM         | resource-distribution | resource-distribution
T 89 | Bot Charlie    | end-turn             | ended turn
T 89 | Bot Bob        | dice-roll            | 1+3=4
